Name,Gender,DOB,Document_Type,Document_Number,Address,Name_clean,Address_clean,Gender_clean,Document_type_clean,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
Mohanlal Sinha,Other,04-08-1975,Passport,K3935412,"866, Borah Street, Hubli–Dharwad-639425",mohanlal sinha,866 borah street hublidharwad639425,other,passport,True,mohanlal sinha other 04081975 passport K3935412 866 borah street hublidharwad639425,-1,0.0,Low
Emir Gola,Male,12-03-1993,PAN,CCXHG1852M,"H.No. 19, De Zila, North Dumdum 451695",emir gola,hno 19 de zila north dumdum 451695,male,pan,True,emir gola male 12031993 pan CCXHG1852M hno 19 de zila north dumdum 451695,-1,0.0,Low
Krish D’Alia,Female,11-12-1974,PAN,QDBHD4336T,"H.No. 993, Sur Street, Uluberia 045795",krish dalia,hno 993 sur street uluberia 045795,female,pan,True,krish dalia female 11121974 pan QDBHD4336T hno 993 sur street uluberia 045795,-1,0.0,Low
Sana Khatri,Other,Unknown,Passport,V9387476,"H.No. 00, Vasa Nagar, Bhalswa Jahangir Pur-818798",sana khatri,hno 00 vasa nagar bhalswa jahangir pur818798,other,passport,True,sana khatri other Unknown passport V9387476 hno 00 vasa nagar bhalswa jahangir pur818798,-1,0.0,Low
Raghav Mahajan,Female,28-12-1977,Aadhaar,8961 3216 2241,"75/993, Sahota Road, Rampur-792972",raghav mahajan,75993 sahota road rampur792972,female,aadhaar,False,raghav mahajan female 28121977 aadhaar 8961 3216 2241 75993 sahota road rampur792972,-1,0.4,Medium
,Female,23-11-1974,PAN,DANAK2921G,"H.No. 53, Golla Circle, Saharsa 009327",nan,hno 53 golla circle saharsa 009327,female,pan,True,nan female 23111974 pan DANAK2921G hno 53 golla circle saharsa 009327,-1,0.0,Low
Eva Barad,Female,Unknown,,Missing,"H.No. 06, Bhargava Marg, Bathinda-511991",eva barad,hno 06 bhargava marg bathinda511991,female,nan,False,eva barad female Unknown nan Missing hno 06 bhargava marg bathinda511991,-1,0.4,Medium
Adira Sankar,Other,03-06-1977,,Missing,"58/22, Baria Circle, Bathinda-739362",adira sankar,5822 baria circle bathinda739362,other,nan,False,adira sankar other 03061977 nan Missing 5822 baria circle bathinda739362,-1,0.4,Medium
Kashvi Dube,Male,15-10-1990,,Missing,"32/82, Manne Marg, Jabalpur 461907",kashvi dube,3282 manne marg jabalpur 461907,male,nan,False,kashvi dube male 15101990 nan Missing 3282 manne marg jabalpur 461907,-1,0.4,Medium
Baiju Samra,Male,12-12-1965,PAN,JJKBS4788E,"73/420, Barman Nagar, New Delhi-642230",baiju samra,73420 barman nagar new delhi642230,male,pan,True,baiju samra male 12121965 pan JJKBS4788E 73420 barman nagar new delhi642230,-1,0.0,Low
,Male,03-02-1976,Aadhaar,5347 8106 8866,"40/12, Hans Ganj, Chennai 491030",nan,4012 hans ganj chennai 491030,male,aadhaar,False,nan male 03021976 aadhaar 5347 8106 8866 4012 hans ganj chennai 491030,-1,0.4,Medium
Saira Buch,Female,19-08-1965,Passport,J9345631,"82, Buch Path, Nangloi Jat 084672",saira buch,82 buch path nangloi jat 084672,female,passport,True,saira buch female 19081965 passport J9345631 82 buch path nangloi jat 084672,-1,0.0,Low
Mohanlal Chad,Male,30-06-1965,PAN,BVCPC3731M,"H.No. 552, Srinivasan Marg, Sambhal 527641",mohanlal chad,hno 552 srinivasan marg sambhal 527641,male,pan,True,mohanlal chad male 30061965 pan BVCPC3731M hno 552 srinivasan marg sambhal 527641,-1,0.0,Low
Riya Wagle,Other,07-06-1972,,Missing,"813, Som Road, Anantapuram-241341",riya wagle,813 som road anantapuram241341,other,nan,False,riya wagle other 07061972 nan Missing 813 som road anantapuram241341,-1,0.4,Medium
Navya Sekhon,Female,10-06-1986,Aadhaar,2179 4529 1244,"H.No. 565, Wali Zila, Kulti 994101",navya sekhon,hno 565 wali zila kulti 994101,female,aadhaar,False,navya sekhon female 10061986 aadhaar 2179 4529 1244 hno 565 wali zila kulti 994101,-1,0.4,Medium
Rati Gaba,,14-12-1986,PAN,JQEGG2742S,"H.No. 85, Wali Zila, Saharanpur 974340",rati gaba,hno 85 wali zila saharanpur 974340,nan,pan,True,rati gaba nan 14121986 pan JQEGG2742S hno 85 wali zila saharanpur 974340,-1,0.0,Low
Vidur Anand,Other,13-05-2007,PAN,XPFCA3491U,"18, Jani Road, Guwahati-321408",vidur anand,18 jani road guwahati321408,other,pan,True,vidur anand other 13052007 pan XPFCA3491U 18 jani road guwahati321408,-1,0.0,Low
Arhaan Savant,Male,27-11-1968,Aadhaar,2191 4507 1236,,arhaan savant,nan,male,aadhaar,False,arhaan savant male 27111968 aadhaar 2191 4507 1236 nan,-1,0.4,Medium
Parinaaz Chhabra,Male,29-07-1998,Passport,B1596405,"69/121, Sankar, Kirari Suleman Nagar 236754",parinaaz chhabra,69121 sankar kirari suleman nagar 236754,male,passport,True,parinaaz chhabra male 29071998 passport B1596405 69121 sankar kirari suleman nagar 236754,-1,0.0,Low
Heer Sabharwal,Male,28-02-1996,PAN,DEYPS9105P,"29/50, Samra Circle, Serampore-425777",heer sabharwal,2950 samra circle serampore425777,male,pan,True,heer sabharwal male 28021996 pan DEYPS9105P 2950 samra circle serampore425777,-1,0.0,Low
Urvi Goyal,Other,05-10-1979,Aadhaar,5028 3396 8160,"20, Barad Path, Agartala 022575",urvi goyal,20 barad path agartala 022575,other,aadhaar,False,urvi goyal other 05101979 aadhaar 5028 3396 8160 20 barad path agartala 022575,-1,0.4,Medium
,Female,05-12-1996,Passport,L3616413,"65/554, Hayre Street, Chittoor 992445",nan,65554 hayre street chittoor 992445,female,passport,True,nan female 05121996 passport L3616413 65554 hayre street chittoor 992445,-1,0.0,Low
Ojas Bir,Female,28-11-1968,Passport,M1454298,"H.No. 77, Bassi Road, Surat-408422",ojas bir,hno 77 bassi road surat408422,female,passport,True,ojas bir female 28111968 passport M1454298 hno 77 bassi road surat408422,-1,0.0,Low
Manikya Grover,Male,30-01-2004,Passport,X7033634,"H.No. 36, Suri Nagar, Vijayanagaram-851981",manikya grover,hno 36 suri nagar vijayanagaram851981,male,passport,True,manikya grover male 30012004 passport X7033634 hno 36 suri nagar vijayanagaram851981,-1,0.0,Low
Riaan Srivastava,Female,22-07-2004,Passport,C7464715,"H.No. 498, Srinivas Chowk, Bhavnagar 188328",riaan srivastava,hno 498 srinivas chowk bhavnagar 188328,female,passport,True,riaan srivastava female 22072004 passport C7464715 hno 498 srinivas chowk bhavnagar 188328,-1,0.0,Low
Jayan Ramesh,Female,27-09-1994,,Missing,"60/187, Mammen Nagar, Durg 502490",jayan ramesh,60187 mammen nagar durg 502490,female,nan,False,jayan ramesh female 27091994 nan Missing 60187 mammen nagar durg 502490,-1,0.4,Medium
Chirag Deol,Female,15-05-1990,PAN,QQITD0179B,"H.No. 028, Rege Road, Thoothukudi-271261",chirag deol,hno 028 rege road thoothukudi271261,female,pan,True,chirag deol female 15051990 pan QQITD0179B hno 028 rege road thoothukudi271261,-1,0.0,Low
Hrishita Majumdar,Female,10-10-1972,Aadhaar,8403 5880 6280,"44/59, Reddy Road, Ujjain-593964",hrishita majumdar,4459 reddy road ujjain593964,female,aadhaar,False,hrishita majumdar female 10101972 aadhaar 8403 5880 6280 4459 reddy road ujjain593964,-1,0.4,Medium
Sara Dhingra,Female,30-10-1969,Aadhaar,4505 2320 7347,"58/97, Singh Street, Khandwa 196879",sara dhingra,5897 singh street khandwa 196879,female,aadhaar,False,sara dhingra female 30101969 aadhaar 4505 2320 7347 5897 singh street khandwa 196879,-1,0.4,Medium
Baiju Magar,Other,09-05-1993,Aadhaar,3856 6826 3202,"57/18, Zachariah Zila, Bardhaman-891136",baiju magar,5718 zachariah zila bardhaman891136,other,aadhaar,False,baiju magar other 09051993 aadhaar 3856 6826 3202 5718 zachariah zila bardhaman891136,-1,0.4,Medium
Sana Mall,Other,05-03-1973,Passport,G8723150,"97/75, Apte Nagar, Nagaon-656112",sana mall,9775 apte nagar nagaon656112,other,passport,True,sana mall other 05031973 passport G8723150 9775 apte nagar nagaon656112,-1,0.0,Low
Biju Cherian,Other,14-03-1972,Aadhaar,9839 8968 1241,"35/723, Sankar Nagar, Bharatpur 571719",biju cherian,35723 sankar nagar bharatpur 571719,other,aadhaar,False,biju cherian other 14031972 aadhaar 9839 8968 1241 35723 sankar nagar bharatpur 571719,-1,0.4,Medium
Amani Tak,Female,20-05-1977,Passport,U6398443,"967, Chauhan Ganj, Kumbakonam 373833",amani tak,967 chauhan ganj kumbakonam 373833,female,passport,True,amani tak female 20051977 passport U6398443 967 chauhan ganj kumbakonam 373833,-1,0.0,Low
Hazel De,Female,14-10-2006,Aadhaar,9264 2244 3601,"H.No. 27, Hegde Circle, Ranchi 903383",hazel de,hno 27 hegde circle ranchi 903383,female,aadhaar,False,hazel de female 14102006 aadhaar 9264 2244 3601 hno 27 hegde circle ranchi 903383,-1,0.4,Medium
Mannat Bhatti,Male,Unknown,Passport,G2197186,"15, Ahuja Chowk, Pali 366395",mannat bhatti,15 ahuja chowk pali 366395,male,passport,True,mannat bhatti male Unknown passport G2197186 15 ahuja chowk pali 366395,-1,0.0,Low
Hridaan Rana,Female,20-06-1978,Aadhaar,7289 7821 1437,"658, Dutt Path, Parbhani-282325",hridaan rana,658 dutt path parbhani282325,female,aadhaar,False,hridaan rana female 20061978 aadhaar 7289 7821 1437 658 dutt path parbhani282325,-1,0.4,Medium
Mehul Thakkar,,04-05-2002,PAN,CSHLT3432W,"04, Cheema Path, Vijayanagaram 375018",mehul thakkar,04 cheema path vijayanagaram 375018,nan,pan,True,mehul thakkar nan 04052002 pan CSHLT3432W 04 cheema path vijayanagaram 375018,-1,0.0,Low
Hunar Deshpande,Female,29-07-1981,Passport,H5948854,"578, Dhillon Street, Tinsukia-864243",hunar deshpande,578 dhillon street tinsukia864243,female,passport,True,hunar deshpande female 29071981 passport H5948854 578 dhillon street tinsukia864243,-1,0.0,Low
Kashvi Subramanian,Other,23-03-1997,Aadhaar,5332 3927 1998,,kashvi subramanian,nan,other,aadhaar,False,kashvi subramanian other 23031997 aadhaar 5332 3927 1998 nan,-1,0.4,Medium
Indrans Wali,Female,16-05-1992,Passport,J9829481,"63/741, Ganesan Ganj, Arrah-843194",indrans wali,63741 ganesan ganj arrah843194,female,passport,True,indrans wali female 16051992 passport J9829481 63741 ganesan ganj arrah843194,-1,0.0,Low
Kaira Dixit,Other,29-11-1973,Aadhaar,3001 4586 4480,"362, Dey Road, Lucknow 735931",kaira dixit,362 dey road lucknow 735931,other,aadhaar,False,kaira dixit other 29111973 aadhaar 3001 4586 4480 362 dey road lucknow 735931,-1,0.4,Medium
Hiran Sur,Female,09-01-1995,Aadhaar,4809 4783 9129,"H.No. 00, Karnik Road, Karnal 804676",hiran sur,hno 00 karnik road karnal 804676,female,aadhaar,False,hiran sur female 09011995 aadhaar 4809 4783 9129 hno 00 karnik road karnal 804676,-1,0.4,Medium
Indranil Toor,Male,25-12-1966,Aadhaar,1553 3450 2946,,indranil toor,nan,male,aadhaar,False,indranil toor male 25121966 aadhaar 1553 3450 2946 nan,-1,0.4,Medium
Baiju Sharma,Other,Unknown,PAN,NZIFS9366C,"74/272, Acharya Ganj, Bidar-539916",baiju sharma,74272 acharya ganj bidar539916,other,pan,True,baiju sharma other Unknown pan NZIFS9366C 74272 acharya ganj bidar539916,-1,0.0,Low
Divij Gopal,Other,15-12-1988,Aadhaar,5174 8208 9236,"59/66, Bandi Marg, Surat-698890",divij gopal,5966 bandi marg surat698890,other,aadhaar,False,divij gopal other 15121988 aadhaar 5174 8208 9236 5966 bandi marg surat698890,-1,0.4,Medium
Kabir Chad,Other,30-01-1997,PAN,NFUJC2990R,"86/655, Agate Path, Firozabad 239844",kabir chad,86655 agate path firozabad 239844,other,pan,True,kabir chad other 30011997 pan NFUJC2990R 86655 agate path firozabad 239844,-1,0.0,Low
Advika Malhotra,Male,08-06-2002,Aadhaar,8096 3437 4491,"429, Balay Path, Shimla 984960",advika malhotra,429 balay path shimla 984960,male,aadhaar,False,advika malhotra male 08062002 aadhaar 8096 3437 4491 429 balay path shimla 984960,-1,0.4,Medium
Jiya Sant,Male,29-12-1979,Aadhaar,1823 8380 9501,,jiya sant,nan,male,aadhaar,False,jiya sant male 29121979 aadhaar 1823 8380 9501 nan,-1,0.4,Medium
Yakshit Sane,Female,28-03-1983,Aadhaar,3699 8297 7626,"26/07, Guha Path, Bellary 693184",yakshit sane,2607 guha path bellary 693184,female,aadhaar,False,yakshit sane female 28031983 aadhaar 3699 8297 7626 2607 guha path bellary 693184,-1,0.4,Medium
Shamik Khatri,Female,21-10-1969,Passport,S3715430,"H.No. 332, Ahuja Chowk, Morbi 431666",shamik khatri,hno 332 ahuja chowk morbi 431666,female,passport,True,shamik khatri female 21101969 passport S3715430 hno 332 ahuja chowk morbi 431666,-1,0.0,Low
Mannat Golla,Other,02-06-1970,Passport,T8816233,"89/22, Char Zila, South Dumdum-697603",mannat golla,8922 char zila south dumdum697603,other,passport,True,mannat golla other 02061970 passport T8816233 8922 char zila south dumdum697603,-1,0.0,Low
Aarav Dhawan,Other,17-04-1977,PAN,BWPBD7759M,"H.No. 14, Goswami Nagar, Srikakulam 018546",aarav dhawan,hno 14 goswami nagar srikakulam 018546,other,pan,True,aarav dhawan other 17041977 pan BWPBD7759M hno 14 goswami nagar srikakulam 018546,-1,0.0,Low
Advik Ram,Male,08-04-1982,PAN,IPBJR5832V,"58/885, Krishna Path, Chinsurah-560137",advik ram,58885 krishna path chinsurah560137,male,pan,True,advik ram male 08041982 pan IPBJR5832V 58885 krishna path chinsurah560137,-1,0.0,Low
Ishaan Brahmbhatt,Female,06-01-1969,Aadhaar,9224 2956 7425,"H.No. 819, Bhargava Street, Bhiwandi-005301",ishaan brahmbhatt,hno 819 bhargava street bhiwandi005301,female,aadhaar,False,ishaan brahmbhatt female 06011969 aadhaar 9224 2956 7425 hno 819 bhargava street bhiwandi005301,-1,0.4,Medium
Anvi Gade,Female,02-12-1971,Aadhaar,5499 7337 9495,"H.No. 702, Lanka Chowk, Buxar 526004",anvi gade,hno 702 lanka chowk buxar 526004,female,aadhaar,False,anvi gade female 02121971 aadhaar 5499 7337 9495 hno 702 lanka chowk buxar 526004,-1,0.4,Medium
Hunar Ramaswamy,Other,30-11-1989,PAN,NREAR6261B,"77/781, Sagar Chowk, Miryalaguda-139456",hunar ramaswamy,77781 sagar chowk miryalaguda139456,other,pan,True,hunar ramaswamy other 30111989 pan NREAR6261B 77781 sagar chowk miryalaguda139456,-1,0.0,Low
Aaina Sane,Male,Unknown,Aadhaar,2012 2592 6215,"48, Varughese Street, Karawal Nagar 818917",aaina sane,48 varughese street karawal nagar 818917,male,aadhaar,False,aaina sane male Unknown aadhaar 2012 2592 6215 48 varughese street karawal nagar 818917,-1,0.4,Medium
Ishaan Khurana,Other,20-05-1979,Passport,H9806208,"H.No. 702, Sani Nagar, Katihar 491703",ishaan khurana,hno 702 sani nagar katihar 491703,other,passport,True,ishaan khurana other 20051979 passport H9806208 hno 702 sani nagar katihar 491703,-1,0.0,Low
Krish Kalla,Male,15-05-2005,Aadhaar,2580 4383 5003,"75/481, Thaman Nagar, Siwan 631764",krish kalla,75481 thaman nagar siwan 631764,male,aadhaar,False,krish kalla male 15052005 aadhaar 2580 4383 5003 75481 thaman nagar siwan 631764,-1,0.4,Medium
Jivika Tara,Other,01-12-2006,Passport,H8521260,"27, Chakrabarti Circle, Dehradun-455129",jivika tara,27 chakrabarti circle dehradun455129,other,passport,True,jivika tara other 01122006 passport H8521260 27 chakrabarti circle dehradun455129,-1,0.0,Low
Priyansh Mani,Other,26-04-2003,Passport,N1389952,,priyansh mani,nan,other,passport,True,priyansh mani other 26042003 passport N1389952 nan,-1,0.0,Low
Parinaaz Ahluwalia,Male,Unknown,PAN,QZTTA8563I,"74, Mahal Street, Rampur 156756",parinaaz ahluwalia,74 mahal street rampur 156756,male,pan,True,parinaaz ahluwalia male Unknown pan QZTTA8563I 74 mahal street rampur 156756,-1,0.0,Low
Alia Ramaswamy,Other,27-12-1972,Passport,F1953714,"H.No. 53, Khatri, Gaya-407212",alia ramaswamy,hno 53 khatri gaya407212,other,passport,True,alia ramaswamy other 27121972 passport F1953714 hno 53 khatri gaya407212,-1,0.0,Low
Kartik Bath,Male,03-11-1981,Passport,U3738082,"68/380, Dubey Circle, Panipat-547998",kartik bath,68380 dubey circle panipat547998,male,passport,True,kartik bath male 03111981 passport U3738082 68380 dubey circle panipat547998,-1,0.0,Low
Jivin Dara,Other,05-01-1974,Passport,S3139835,"13/32, Sachdeva Marg, Tenali-878282",jivin dara,1332 sachdeva marg tenali878282,other,passport,True,jivin dara other 05011974 passport S3139835 1332 sachdeva marg tenali878282,-1,0.0,Low
Dhanush Rout,Other,14-11-2003,Passport,R3930255,"H.No. 984, Banerjee Zila, Jamnagar 079816",dhanush rout,hno 984 banerjee zila jamnagar 079816,other,passport,True,dhanush rout other 14112003 passport R3930255 hno 984 banerjee zila jamnagar 079816,-1,0.0,Low
Indrajit Zachariah,Male,10-12-2002,Passport,T2245046,"H.No. 266, Yohannan, Kishanganj 914488",indrajit zachariah,hno 266 yohannan kishanganj 914488,male,passport,True,indrajit zachariah male 10122002 passport T2245046 hno 266 yohannan kishanganj 914488,-1,0.0,Low
